uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
844,26.124236,103.072273,731.4408,70.382129,311.66837,0.247456328,0,0,1,0.24464,0.162516,1.328458,1.465747,170.687502,77.878529,0.389863,4,0.4053,163.521666,4.303202,0.172867,0.4983,0.097629303,0.143684,0.017123,0.720011539,71.8032,1
845,128.458626,248.025227,602.464295,160.635407,187.588721,0,0,0,0,0,0.020893,0.233225,1.05749,183.804001,227.826376,1,3,0.5897,51.643747,25.821874,0.079135,0.388265,0.459137566,0.135075,0.053297,0.832900247,64.506599,1
846,155.182668,297.457089,561.796898,190.825698,156.653482,0,0,0,0,0,0.020893,0.233225,1.05749,183.804001,277.821504,1,2,0.5897,50.520454,12.630113,0.115304,0.694214,0.067925583,0.144443,0.00861,0.501980789,59.833467,1
847,155.323536,347.051763,522.750688,165.771129,137.444892,0,0,0,0,0,0.020893,0.233225,1.05749,183.804001,276.793222,1,1.5,0.5897,50.3147,12.578675,0.210409,0.593061,0.041257712,0.172839,0.006587,0.588928286,50.487202,1
848,170.789758,396.748198,485.716799,150.369245,135.062517,0,0,0,0,0,0.020893,0.233225,1.05749,183.804001,276.254702,1,1.75,0.5897,50.021954,12.505488,0.155966,0.383186,0.499015171,0.065178,0.063016,0.840742201,50.2071,1
849,184.036453,446.512418,451.19102,140.943284,150.308577,0,0,0,0,0,0.060046,0.427565,1.21765,225.246668,278.123666,1,3,0.6457,83.547114,6.426701,0.163247,0.678252,0.159666435,0.112076,0.019397,0.519698184,50.2071,1
850,177.62308,444.811332,419.792644,121.660702,163.947717,0,0,0,0,0.001105,0.076515,0.617328,1.202013,242.770004,282.937114,1,3.6,0.7018,87.943416,6.764878,0.147916,0.56675,0.208071726,0.130288,0.045298,0.644859641,35.745602,1
851,80.106011,288.883174,342.258716,47.945323,58.663826,0.146765234,0,0,0,0.343902,0.169791,0.53056,1.35902,208.383003,266.325831,0.888558,0.5,0.6775,106.321054,13.290132,0.195249,0.612142,0.10685306,0.164271,0.020262,0.574229516,35.671902,4
852,181.692376,213.037229,343.425752,106.865217,105.361199,0.1575052,0,0,0,0.162659,0,0,0,0,250.068449,0.926484,4.4,0.5295,0,0,0.4512,0.084150196,0.282904236,0.194740442,0.080645436,0.788311104,51.069698,1
853,200.08439,190.950973,384.525996,112.473802,111.853128,0.11236071,0,0,0.413065,0.73238,0.046895,0.207802,1.15855,228.352997,247.634013,0.737842,3.666667,0.5295,60.431038,30.215519,0.175043,0.665212,0.00188357,0.122719,0.000431,0.537745267,98.562599,1
854,301.825602,147.638515,517.317336,127.666643,89.195238,0.206825924,0,0,1,0,0.028392,0.164614,1.59036,182.992996,227.449082,0.326358,2.5,0.5231,51.188634,12.797159,0.348483,0.365517,1,0.00015,0.256309152,0.686551352,99.314003,3
855,279.299109,164.038867,563.503524,87.287326,89.663267,0.157259891,0,0.37523,0.542239,0.699683,0.044735,0.218882,1.44618,205.632996,181.283854,0.184394,2.5,0.5231,56.647459,7.080932,0.306047,0.523505,0.075900536,0.137346,0.010731,0.644746269,96.3834,1
856,448.377626,529.959573,1093.912778,492.079708,577.431969,0,0,0,0,0.316262,0.10217,0.474359,1.47817,196.343002,17.493294,0.924525,0,0.3158,15.391578,0,0.323923,0.555964,0.078066478,0.070409,0.044105,0.627148249,48.435301,4
857,492.16608,575.1006,1143.050375,541.722018,626.827844,0,0,0,0,0.329078,0.01908,0.267677,1.17628,206.332993,0,0.509204,0.5,0.2852,51.892376,25.946188,0.103537,0.444126,0.220047135,0.176106,0.020692,0.777679154,44.095901,4
858,505.780053,350.68363,791.97414,205.91679,408.651134,0,0,0,0,0.3384,0.08395,0.594386,1.406455,200.750999,0,0.524682015,0,-0.084,57.682062,9.613677,0.1142,0.616485,0.030969185,0.143965,0.006455,0.602889178,0,4
859,484.058069,309.587799,748.542053,176.225594,387.400827,0,0,0,0,0.647168,0.127172,0.919904,1.28097,226.807999,33.827899,0.601321,0,-0.084,54.734996,13.683749,0.092507,0.603815,0.024177593,0.16027,0.005648,0.622327406,56.860699,8
860,447.345353,271.496228,705.979724,157.191588,371.702909,0,0,0,0.208506,0.385391,0,0,0,0,80.956446,0.939642408,0,0.056,0,0,0.204946,0.606707,0.09023875,0.164983,0.016362,0.577730163,55.359366,1
